mgi_symbol	mgi_description	ensembl_gene_id
Acap1; Centb1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSMUSG00000001588
Tcea3; S-II; SII-K1	transcription elongation factor A (SII), 3	ENSMUSG00000001604
Csn3; CSN10; Csnk	casein kappa	ENSMUSG00000001622
Ifrd1; Ifnl; PC4; Tis7	interferon-related developmental regulator 1	ENSMUSG00000001627
Stk38l; 4930473A22Rik; Ndr2	serine/threonine kinase 38 like	ENSMUSG00000001630
Brpf1; 4833438B11Rik; 4930540D11Rik	bromodomain and PHD finger containing, 1	ENSMUSG00000001632
Akr1b3; Ahr-1; Ahr1; Aldor1; Aldr1; ALR2; AR	aldo-keto reductase family 1, member B3 (aldose reductase)	ENSMUSG00000001642
Hoxc13	homeobox C13	ENSMUSG00000001655
Hoxc11; Hox-3.7	homeobox C11	ENSMUSG00000001656
Hoxc8; D130011F21Rik; Hox-3.1	homeobox C8	ENSMUSG00000001657
Hoxc6; Hox-3.3; Hox-6.1	homeobox C6	ENSMUSG00000001661
Gstt1; Gstt1-1	glutathione S-transferase, theta 1	ENSMUSG00000001663
Gstt3	glutathione S-transferase, theta 3	ENSMUSG00000001665
Ddt	D-dopachrome tautomerase	ENSMUSG00000001666
Tat	tyrosine aminotransferase	ENSMUSG00000001670
Marveld3; 1810006A16Rik; MARVD3; Mrvldc3	MARVEL (membrane-associating) domain containing 3	ENSMUSG00000001672
Ddx18; 2310005B10Rik	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	ENSMUSG00000001674
Ubl3	ubiquitin-like 3	ENSMUSG00000001687
Gramd3; 9030613F08Rik; 9130427A09Rik	GRAM domain containing 3	ENSMUSG00000001700
Eef1e1; 1110003A02Rik	eukaryotic translation elongation factor 1 epsilon 1	ENSMUSG00000001707
Akt1; Akt; PKB; PKB/Akt; PKBalpha	thymoma viral proto-oncogene 1	ENSMUSG00000001729
Cldn15; 2210009B08Rik	claudin 15	ENSMUSG00000001739
Il16	interleukin 16	ENSMUSG00000001741
Tcirg1; ATP6a3; Atp6i; OC-116; TIRC7; V-ATPase a3	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	ENSMUSG00000001750
Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	ENSMUSG00000001751
Coasy; 1300003G02Rik; Dpck; Ppat; Ukr1	Coenzyme A synthase	ENSMUSG00000001755
Smo; E130215L21Rik	smoothened, frizzled class receptor	ENSMUSG00000001761
Tspan33; 1300010A20Rik; Pen; Penumbra	tetraspanin 33	ENSMUSG00000001763
Crnkl1; 1200013P10Rik; 5730590A01Rik; crn	crooked neck pre-mRNA splicing factor 1	ENSMUSG00000001767
Rin2; 2010003K16Rik; 4632403N06Rik; RASSF4	Ras and Rab interactor 2	ENSMUSG00000001768
Folh1; GCP2; glutamate carboxypeptidase II; mopsm; prostate-specific membrane antigen	folate hydrolase 1	ENSMUSG00000001773
Chordc1; 1110001O09Rik; Chp-1; morgana	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	ENSMUSG00000001774
Rtcb; D10Wsu52e; HSPC117	RNA 2',3'-cyclic phosphate and 5'-OH ligase	ENSMUSG00000001783
Pwp1; 2310058A11Rik; 2610205J09Rik	PWP1 homolog, endonuclein	ENSMUSG00000001785
Fbxo7; 2410015K21Rik; A230052G17Rik	F-box protein 7	ENSMUSG00000001786
Capns1; Capa-4; Capa4; Capn4; D7Ertd146e	calpain, small subunit 1	ENSMUSG00000001794
Lrp3	low density lipoprotein receptor-related protein 3	ENSMUSG00000001802
Dsg4; CDHF13; lah	desmoglein 4	ENSMUSG00000001804
Evx2; Evx-2	even-skipped homeobox 2	ENSMUSG00000001815
Hoxd13; Hox-4.8; spdh	homeobox D13	ENSMUSG00000001819
Hoxd12; Hox-4.7; Hox-5.6	homeobox D12	ENSMUSG00000001823
Folr1; FBP1; folate receptor [a]; folate-binding protein 1; Folbp-1; Folbp1	folate receptor 1 (adult)	ENSMUSG00000001827
Clpb; Skd3	ClpB caseinolytic peptidase B	ENSMUSG00000001829
Septin7; Cdc10; Sept7	septin 7	ENSMUSG00000001833
Zdhhc4; 1810021D01Rik; 2900029I10Rik	zinc finger, DHHC domain containing 4	ENSMUSG00000001844
Rac1; D5Ertd559e	Rac family small GTPase 1	ENSMUSG00000001847
Nup214; CAN; D2H9S46E	nucleoporin 214	ENSMUSG00000001855
Aif1l; 2810003C17Rik	allograft inflammatory factor 1-like	ENSMUSG00000001864
Cpa3; mast cell carboxypeptidase A; MC-CPA; mMC-CPA	carboxypeptidase A3, mast cell	ENSMUSG00000001865
Ltbp1; 9430031G15Rik; b2b1000Clo; LTBP-1; Ltbp1L	latent transforming growth factor beta binding protein 1	ENSMUSG00000001870
Ugp2	UDP-glucose pyrophosphorylase 2	ENSMUSG00000001891
Kcnh6; m-erg2	potassium voltage-gated channel, subfamily H (eag-related), member 6	ENSMUSG00000001901
Trmt1; 6720406L13Rik; D8Ertd812e	tRNA methyltransferase 1	ENSMUSG00000001909
Nacc1; 2010001H03Rik; 4930511N13Rik; Btbd14b; Nac1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	ENSMUSG00000001910
Nfix	nuclear factor I/X	ENSMUSG00000001911
Slc1a5; ASCT2	solute carrier family 1 (neutral amino acid transporter), member 5	ENSMUSG00000001918
Uba1; A1S9; Sbx; Ube-1; Ube1x	ubiquitin-like modifier activating enzyme 1	ENSMUSG00000001924
Vwf; 6820430P06Rik; B130011O06Rik	Von Willebrand factor	ENSMUSG00000001930
Siae; clone 165; LSE; Ysg2	sialic acid acetylesterase	ENSMUSG00000001942
Vsig2; 1190004B15Rik; 2210413P10Rik; CTM; CTX	V-set and immunoglobulin domain containing 2	ENSMUSG00000001943
Esam; 2310008D05Rik; W117m	endothelial cell-specific adhesion molecule	ENSMUSG00000001946
Spa17; band 34; Sp17	sperm autoantigenic protein 17	ENSMUSG00000001948
Fam50a; D0HXS9928E; XAP-5	family with sequence similarity 50, member A	ENSMUSG00000001962
Emd	emerin	ENSMUSG00000001964
Taco1; 2310066I18Rik; Ccdc44	translational activator of mitochondrially encoded cytochrome c oxidase I	ENSMUSG00000001983
Grik3; Glur-7; Glur7	glutamate receptor, ionotropic, kainate 3	ENSMUSG00000001985
Gria3; 2900064I19Rik; Glur-3; Glur3; Gluralpha3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	ENSMUSG00000001986
Npas1; bHLHe11; MOP5	neuronal PAS domain protein 1	ENSMUSG00000001988
Sipa1l2	signal-induced proliferation-associated 1 like 2	ENSMUSG00000001995
Ap4e1; 2310033A20Rik	adaptor-related protein complex AP-4, epsilon 1	ENSMUSG00000001998
Blvra; 0610006A11Rik; 2500001N03Rik; Blvr	biliverdin reductase A	ENSMUSG00000001999
Pdzd4; D130075J17Rik; Kiaa1444-hp; LU1; PDZD4; Pdzk4; PDZRN4L; Pdzrnk4l; Xlu	PDZ domain containing 4	ENSMUSG00000002006
Srpk3; Mssk1; Stk23	serine/arginine-rich protein specific kinase 3	ENSMUSG00000002007
Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	ENSMUSG00000002010
Pnck; Bstk3; Camk1b; CaMKIbeta2; Punc	pregnancy upregulated non-ubiquitously expressed CaM kinase	ENSMUSG00000002012
Ssr4; Trap	signal sequence receptor, delta	ENSMUSG00000002014
Bcap31; BAP31	B cell receptor associated protein 31	ENSMUSG00000002015
Fam98a; 2810405J04Rik	family with sequence similarity 98, member A	ENSMUSG00000002017
Ltbp2	latent transforming growth factor beta binding protein 2	ENSMUSG00000002020
Kmt2a; ALL-1; All1; Cxxc7; HTRX1; Mll; Mll1; trithorax Drosophila	lysine (K)-specific methyltransferase 2A	ENSMUSG00000002028
Ift46; 1500035H01Rik; IFT46	intraflagellar transport 46	ENSMUSG00000002031
Tmem25; 0610039J01Rik	transmembrane protein 25	ENSMUSG00000002032
Cd3g; Ctg-3; Ctg3; T3g	CD3 antigen, gamma polypeptide	ENSMUSG00000002033
Trappc6a; 1810073E21Rik; 4930519D19Rik; TRS33	trafficking protein particle complex 6A	ENSMUSG00000002043
Supt6; 5131400N11Rik; SPT6; Supt6h	SPT6, histone chaperone and transcription elongation factor	ENSMUSG00000002052
Spag5; Astrin; D11Bhm180e; Deepest; MAP126; Mastrin; s17	sperm associated antigen 5	ENSMUSG00000002055
Foxn1; D11Bhm185e; Hfh11; whn	forkhead box N1	ENSMUSG00000002057
Unc119; HRG4; MRG4; Rg4; Rtg4; UNC119; Unc119h	unc-119 lipid binding chaperone	ENSMUSG00000002058
Rab34; Narr; Rah1	RAB34, member RAS oncogene family	ENSMUSG00000002059
Sdf2	stromal cell derived factor 2	ENSMUSG00000002064
Ccne1; CycE1; cyclin E	cyclin E1	ENSMUSG00000002068
Hsf2bp; 4932437G14Rik	heat shock transcription factor 2 binding protein	ENSMUSG00000002076
Bbc3; PUMA	BCL2 binding component 3	ENSMUSG00000002083
Mybpc3; cardiac C-protein	myosin binding protein C, cardiac	ENSMUSG00000002100
Psmc3; Tat binding protein 1; TBP-1	proteasome (prosome, macropain) 26S subunit, ATPase 3	ENSMUSG00000002102
Acp2; Acp-2; LAP	acid phosphatase 2, lysosomal	ENSMUSG00000002103
Rapsn; 43kDa acetylcholine receptor-associated protein; Nraps; Raps; rapsyn	receptor-associated protein of the synapse	ENSMUSG00000002104
Slc39a13; 1100001L14Rik; ZIP13	solute carrier family 39 (metal ion transporter), member 13	ENSMUSG00000002105
Celf2; B230345P09Rik; Cugbp2; ETR-3; Napor-2	CUGBP, Elav-like family member 2	ENSMUSG00000002107
Nr1h3; LXR alpha; Unr1	nuclear receptor subfamily 1, group H, member 3	ENSMUSG00000002108
Ddb2; 2610043A19Rik; p48	damage specific DNA binding protein 2	ENSMUSG00000002109
Spi1; Dis-1; PU.1; Sfpi-1; Sfpi1; Spi-1; Tcfpu1; Tfpu.1	spleen focus forming virus (SFFV) proviral integration oncogene	ENSMUSG00000002111
Sf3a1; 1200014H24Rik; 5930416L09Rik	splicing factor 3a, subunit 1	ENSMUSG00000002129
Stat6	signal transducer and activator of transcription 6	ENSMUSG00000002147
Clgn; 4930459O04Rik; A2/6; calnexin-t; Cln	calmegin	ENSMUSG00000002190
Napsa; Kdap; NAP1; napsin; pronapsin	napsin A aspartic peptidase	ENSMUSG00000002204
Vrk3	vaccinia related kinase 3	ENSMUSG00000002205
Smg9; 1500002O20Rik; N28092	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	ENSMUSG00000002210
Paxip1; D5Ertd149e; PTIP	PAX interacting (with transcription-activation domain) protein 1	ENSMUSG00000002221
Rmnd5a; 1110007A06Rik; Gid2	required for meiotic nuclear division 5 homolog A	ENSMUSG00000002222
Mov10; Mov-10	Mov10 RISC complex RNA helicase	ENSMUSG00000002227
Ppm1j; 2310008J22Rik; PP2Czeta; Ppp2cz	protein phosphatase 1J	ENSMUSG00000002228
Rhoc; Arh9; Arhc	ras homolog family member C	ENSMUSG00000002233
Prr27; 4930432K09Rik	proline rich 27	ENSMUSG00000002240
Tead3; DTEF-1; ETFR-1; Tcf13r2; TEAD-3; TEF-5	TEA domain family member 3	ENSMUSG00000002249
Ppard; Nr1c2; NUC1; Peroxisome proliferator-activated receptor beta; PPAR-delta; Pparb; Pparb/d; PPARdelta/beta	peroxisome proliferator activator receptor delta	ENSMUSG00000002250
Def6; 2410003F05Rik; 6430538D02Rik; IBP; IRF-4-binding protein; SLAT	differentially expressed in FDCP 6	ENSMUSG00000002257
Peg3; End4; Gcap4; Pw1; Zfp102	paternally expressed 3	ENSMUSG00000002265
Zim1	zinc finger, imprinted 1	ENSMUSG00000002266
Metrn; 1810034B16Rik	meteorin, glial cell differentiation regulator	ENSMUSG00000002274
Lmf1; 2400010G15Rik; Tmem112	lipase maturation factor 1	ENSMUSG00000002279
Ciao3; 9030612I22Rik; Narfl	cytosolic iron-sulfur assembly component 3	ENSMUSG00000002280
Angptl4; BK89; FIAF; HFARP; NG27	angiopoietin-like 4	ENSMUSG00000002289
Dbf4; Ask	DBF4 zinc finger	ENSMUSG00000002297
Daxx	Fas death domain-associated protein	ENSMUSG00000002307
Cd320; 425O18-1; 8D6; D17Ertd716e; NG29; VLDL	CD320 antigen	ENSMUSG00000002308
Ipo4; 8430408O15Rik	importin 4	ENSMUSG00000002319
Tm9sf1; 1200014D02Rik; MP70	transmembrane 9 superfamily member 1	ENSMUSG00000002320
Rec8; mrec; Rec8L1	REC8 meiotic recombination protein	ENSMUSG00000002324
Irf9; Irf-9; Isgf3g; p48	interferon regulatory factor 9	ENSMUSG00000002325
Gmpr2; 1810008P16Rik; 5730544D12Rik	guanosine monophosphate reductase 2	ENSMUSG00000002326
Mdp1; 1810034K20Rik	magnesium-dependent phosphatase 1	ENSMUSG00000002329
Dhrs1; 1110029G07Rik	dehydrogenase/reductase (SDR family) member 1	ENSMUSG00000002332
Ncan; Cspg3; Cspg3-rs; Tgfbit	neurocan	ENSMUSG00000002341
Tmem161a	transmembrane protein 161A	ENSMUSG00000002342
Armc6; 2410153K17Rik	armadillo repeat containing 6	ENSMUSG00000002343
Borcs8; 2310045N01Rik	BLOC-1 related complex subunit 8	ENSMUSG00000002345
Slc25a42; 2900084M01Rik	solute carrier family 25, member 42	ENSMUSG00000002346
Snx9; SDP1; SH3PX1	sorting nexin 9	ENSMUSG00000002365
Ranbp3; 2610024N24Rik	RAN binding protein 3	ENSMUSG00000002372
Ndufa11; 11, 14.7kDa; 2010012C24Rik; B14.7	NADH:ubiquinone oxidoreductase subunit A11	ENSMUSG00000002379
Bmp8b; Op3	bone morphogenetic protein 8b	ENSMUSG00000002384
Nr2f6; COUP-TF3; EAR2; Erbal2	nuclear receptor subfamily 2, group F, member 6	ENSMUSG00000002393
Use1; 2010315L10Rik; 5730403H22Rik; D12; mED2; Q-SNARE	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	ENSMUSG00000002395
Ocel1; 9430098E02Rik	occludin/ELL domain containing 1	ENSMUSG00000002396
Dyrk1b; Mirk	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	ENSMUSG00000002409
Braf; 9930012E13Rik; Braf-2; Braf2; D6Ertd631e	Braf transforming gene	ENSMUSG00000002413
Ndufb2; 1810011O01Rik; 8kDa	NADH:ubiquinone oxidoreductase subunit B2	ENSMUSG00000002416
Hltf; P113; Smarca3; Snf2l3	helicase-like transcription factor	ENSMUSG00000002428
Prpf6; 1190003A07Rik; 2610031L17Rik; ANT-1; U5-102K	pre-mRNA splicing factor 6	ENSMUSG00000002455
Rgs19; 2610042F04Rik	regulator of G-protein signaling 19	ENSMUSG00000002458
Rgs20; 2900073E09Rik; Rgsz1	regulator of G-protein signaling 20	ENSMUSG00000002459
Abhd3; LABH3	abhydrolase domain containing 3	ENSMUSG00000002475
Snrpd1; SMD1	small nuclear ribonucleoprotein D1	ENSMUSG00000002477
Tchp; A930031F18Rik	trichoplein, keratin filament binding	ENSMUSG00000002486
Tiam1; D16Ium10; D16Ium10e	T cell lymphoma invasion and metastasis 1	ENSMUSG00000002489
Tsc2; Nafld; tuberin; tuberous sclerosis 2	TSC complex subunit 2	ENSMUSG00000002496
Rpl3l; 1110057H16Rik	ribosomal protein L3-like	ENSMUSG00000002500
Slc9a3r2; 0610011L07Rik; 1200011K07Rik; 2010007A20Rik; E3karp; Nherf2; Octs2; Sip-1; Sip1; Sryip1; Tka-1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2	ENSMUSG00000002504
Puf60; 2410104I19Rik; 2810454F19Rik	poly-U binding splicing factor 60	ENSMUSG00000002524
Golga2; GM130	golgi autoantigen, golgin subfamily a, 2	ENSMUSG00000002546
Uck1; URK1	uridine-cytidine kinase 1	ENSMUSG00000002550
Scin; adseverin	scinderin	ENSMUSG00000002565
Ikzf4; A630026H08Rik; Eos; Zfpn1a4	IKAROS family zinc finger 4	ENSMUSG00000002578
Mien1; 1810046J19Rik	migration and invasion enhancer 1	ENSMUSG00000002580
Pon1; Pon	paraoxonase 1	ENSMUSG00000002588
Axl; Ark; Tyro7; Ufo	AXL receptor tyrosine kinase	ENSMUSG00000002602
Tgfb1; TGF-beta 1; TGF-beta1; Tgfb; Tgfb-1; TGFbeta1	transforming growth factor, beta 1	ENSMUSG00000002603
Ccdc97; 1200014H14Rik; 2810446P04Rik; D7Ertd462e	coiled-coil domain containing 97	ENSMUSG00000002608
Zfp40; NTfin12; Zfp-40	zinc finger protein 40	ENSMUSG00000002617
Akap8l; Nakap95	A kinase (PRKA) anchor protein 8-like	ENSMUSG00000002625
Shh; Hhg1; Hx; Hxl3; M100081	sonic hedgehog	ENSMUSG00000002633
Pdcd2l; 6030457N17Rik	programmed cell death 2-like	ENSMUSG00000002635
Gtf2f1; 2810405L04Rik	general transcription factor IIF, polypeptide 1	ENSMUSG00000002658
Clpp; D17Wsu160e	caseinolytic mitochondrial matrix peptidase proteolytic subunit	ENSMUSG00000002660
Alkbh7; 2310045B01Rik; 2510008E23Rik; Abh7; Spata11	alkB homolog 7	ENSMUSG00000002661
Pspn; PSP	persephin	ENSMUSG00000002664
Dennd1c; 4432409M07Rik	DENN/MADD domain containing 1C	ENSMUSG00000002668
Med6; 1500012F11Rik	mediator complex subunit 6	ENSMUSG00000002679
Prkd1; Pkcm; PKD1; Prkcm	protein kinase D1	ENSMUSG00000002688
Lcp2; m1Khoe; SLP-76; SLP76; twm	lymphocyte cytosolic protein 2	ENSMUSG00000002699
Cse1l; 2610100P18Rik; Capts; Cas; Xpo2	chromosome segregation 1-like (S. cerevisiae)	ENSMUSG00000002718
Naa20; 1500004D14Rik; 2900026I01Rik; D2Ertd186e; Nat5	N(alpha)-acetyltransferase 20, NatB catalytic subunit	ENSMUSG00000002728
Prkra; lear; Pact; PRK; RAX	protein kinase, interferon inducible double stranded RNA dependent activator	ENSMUSG00000002731
Fkbp7; FKBP23	FK506 binding protein 7	ENSMUSG00000002732
Plekha3; FAPP1	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	ENSMUSG00000002733
Ykt6; 0610042I15Rik; 1810013M05Rik	YKT6 v-SNARE homolog (S. cerevisiae)	ENSMUSG00000002741
Baz1b; Wbscr9; WSTF	bromodomain adjacent to zinc finger domain, 1B	ENSMUSG00000002748
Pex6; D130055I09Rik	peroxisomal biogenesis factor 6	ENSMUSG00000002763
Mrpl2; CGI-22; MRP-L14; Rpml14	mitochondrial ribosomal protein L2	ENSMUSG00000002767
Mea1; Mea-1	male enhanced antigen 1	ENSMUSG00000002768
Gnmt; glycine N methyl transferase	glycine N-methyltransferase	ENSMUSG00000002769
Grin2d; GluN2D; GluRepsilon4; NMDAR2D; NR2D	glutamate receptor, ionotropic, NMDA2D (epsilon 4)	ENSMUSG00000002771
Kdelr1; 8030486F04Rik	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	ENSMUSG00000002778
Tmem143; 2310076O21Rik	transmembrane protein 143	ENSMUSG00000002781
Pdxk-ps	pyridoxal (pyridoxine, vitamin B6) kinase, pseudogene	ENSMUSG00000002791
Ggct; A030007L17Rik; Gctg; Ggc	gamma-glutamyl cyclotransferase	ENSMUSG00000002797
Jag2; D12Ggc2e; Serh	jagged 2	ENSMUSG00000002799
Btbd6	BTB (POZ) domain containing 6	ENSMUSG00000002803
Nudt14; 1110030M18Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 14	ENSMUSG00000002804
Epdr1; Epdr2; MERP-1; MERP-2; MERP2; Ucc1	ependymin related protein 1 (zebrafish)	ENSMUSG00000002808
Flii; 3632430F08Rik; Fliih	flightless I actin binding protein	ENSMUSG00000002812
Top3a; Top IIIa	topoisomerase (DNA) III alpha	ENSMUSG00000002814
Atg4d; 9830134P12Rik; APG4-D; Apg4d; Autl4	autophagy related 4D, cysteine peptidase	ENSMUSG00000002820
Qtrt1; 2610028E17Rik; Tgt; tRNA-guanine transglycosylase	queuine tRNA-ribosyltransferase catalytic subunit 1	ENSMUSG00000002825
Plin4; S3-12	perilipin 4	ENSMUSG00000002831
Hdgfl2; Hdgfrp2; HRP-2	HDGF like 2	ENSMUSG00000002833
Chaf1a; CAF-1	chromatin assembly factor 1, subunit A (p150)	ENSMUSG00000002835
Adprh; Arh1	ADP-ribosylarginine hydrolase	ENSMUSG00000002844
Tmem39a	transmembrane protein 39a	ENSMUSG00000002845
Timmdc1; 2810021C21Rik; 4930455C21Rik	translocase of inner mitochondrial membrane domain containing 1	ENSMUSG00000002846
Pla1a; Ps-pla1	phospholipase A1 member A	ENSMUSG00000002847
Mcm2; BM28; CDCL1; Mcmd2	minichromosome maintenance complex component 2	ENSMUSG00000002870
Tpra1; 40kDa; Gpr175; Tpra40	transmembrane protein, adipocyte asscociated 1	ENSMUSG00000002871
Nab1	Ngfi-A binding protein 1	ENSMUSG00000002881
Adgre5; Cd97; EGF-TM7 receptor	adhesion G protein-coupled receptor E5	ENSMUSG00000002885
Il17ra; Il17r; VDw217	interleukin 17 receptor A	ENSMUSG00000002897
Lamb1; C80098; C81607; D130003D08Rik; Lamb-1; Lamb1-1	laminin B1	ENSMUSG00000002900
Kcnn1; SK1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	ENSMUSG00000002908
Arrdc2; 4632416I05Rik	arrestin domain containing 2	ENSMUSG00000002910
Ppp1r17; G-substrate; Gsbs	protein phosphatase 1, regulatory subunit 17	ENSMUSG00000002930
Cd36; FAT; fatty acid translocase; Scarb3	CD36 molecule	ENSMUSG00000002944
Map2k7; 5930412N11Rik; Jnkk2; MAP kinase kinase 7; MKK7; Prkmk7; sek2	mitogen-activated protein kinase kinase 7	ENSMUSG00000002948
Timm44; 0710005E20Rik; D8Ertd118e; Mimt44; Tim44	translocase of inner mitochondrial membrane 44	ENSMUSG00000002949
Ap2a2; 2410074K14Rik; Adtab; alpha-adaptin C; alpha-C adaptin; L25	adaptor-related protein complex 2, alpha 2 subunit	ENSMUSG00000002957
Pnkp; 1810009G08Rik; PNK	polynucleotide kinase 3'- phosphatase	ENSMUSG00000002963
Med25; 2610034E13Rik; 2610529E18Rik; ESTM2	mediator complex subunit 25	ENSMUSG00000002968
Bcam; 1200005K12Rik; B-CAM; Lu	basal cell adhesion molecule	ENSMUSG00000002980
Clptm1; HS9; N14	cleft lip and palate associated transmembrane protein 1	ENSMUSG00000002981
Relb; shep	avian reticuloendotheliosis viral (v-rel) oncogene related B	ENSMUSG00000002983
Tomm40; Tom40	translocase of outer mitochondrial membrane 40	ENSMUSG00000002984
Apoe	apolipoprotein E	ENSMUSG00000002985
Apoc2	apolipoprotein C-II	ENSMUSG00000002992
Hbp1; 1700058O05Rik; C330012F01Rik; C86454	high mobility group box transcription factor 1	ENSMUSG00000002996
Prkar2b; Pkarb2; PKARIIbeta; RII(beta)	protein kinase, cAMP dependent regulatory, type II beta	ENSMUSG00000002997
Cdkn1b; p27; p27Kip1	cyclin-dependent kinase inhibitor 1B	ENSMUSG00000003031
Klf4; EZF; Gklf; Zie	Kruppel-like factor 4 (gut)	ENSMUSG00000003032
Ap1m1; Adtm1A; AP47; Cltnm; mu1A; [m]1A	adaptor-related protein complex AP-1, mu subunit 1	ENSMUSG00000003033
Rab8a; Mel	RAB8A, member RAS oncogene family	ENSMUSG00000003037
Hmgn2; HMG-17; Hmg17	high mobility group nucleosomal binding domain 2	ENSMUSG00000003038
Fam32a; 2510049I19Rik	family with sequence similarity 32, member A	ENSMUSG00000003039
Elf3; ESE-1; ESX; jen	E74-like factor 3	ENSMUSG00000003051
Cyp2c29; Ah-2; Ahh-1; AHOH; AHOHase; Cyp2c; P450-2C	cytochrome P450, family 2, subfamily c, polypeptide 29	ENSMUSG00000003053
Stard3nl; 0610035N01Rik; 6530409L22Rik	STARD3 N-terminal like	ENSMUSG00000003062
Stk11; Lkb1; Par-4	serine/threonine kinase 11	ENSMUSG00000003068
Efna2; Cek7-L; Elf-1; ephrin A6; Ephrin-A2; Epl6; LERK-6	ephrin A2	ENSMUSG00000003070
Atp5d; 0610008F14Rik; 1500000I11Rik	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	ENSMUSG00000003072
Ppp5c; ANP receptor; PP5	protein phosphatase 5, catalytic subunit	ENSMUSG00000003099
Cdk12; 1810022J16Rik; Crk7; Crkrs; D11Ertd752e	cyclin-dependent kinase 12	ENSMUSG00000003119
Lipe; 4933403G17Rik; HSL	lipase, hormone sensitive	ENSMUSG00000003123
Pafah1b2; mus[b]; PAF-AH 30; Pafahb	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	ENSMUSG00000003131
Tbc1d8; AD3; BUB2-like protein 1; GRAM domain; HBLP1	TBC1 domain family, member 8	ENSMUSG00000003134
Cnot11; 2410015L18Rik; D1Bwg0212e	CCR4-NOT transcription complex, subunit 11	ENSMUSG00000003135
Slc2a3; Glut-3; Glut3	solute carrier family 2 (facilitated glucose transporter), member 3	ENSMUSG00000003153
Foxj2; Fhx	forkhead box J2	ENSMUSG00000003154
Sri; 2210417O06Rik; 2900070H08Rik; Sor	sorcin	ENSMUSG00000003161
Dgcr2; 9930034O06Rik; DGS-C; Dgsc; Idd; Lan; Sez12	DiGeorge syndrome critical region gene 2	ENSMUSG00000003166
Irf3; C920001K05Rik; IRF-3	interferon regulatory factor 3	ENSMUSG00000003184
Bcl2l12; 2810475P17Rik; 5430429M05Rik; Bcl-L12; Bcl2-L12	BCL2-like 12 (proline rich)	ENSMUSG00000003190
Zfp959; BC011426	zinc finger protein 959	ENSMUSG00000003198
Mpnd; E130307M08Rik	MPN domain containing	ENSMUSG00000003199
Sh3gl1; EEN; endophilin II; Sh3d2b; SH3P8	SH3-domain GRB2-like 1	ENSMUSG00000003200
Ebi3; EBI-3; IL-27	Epstein-Barr virus induced gene 3	ENSMUSG00000003206
Yju2; 2900016D05Rik; Ccdc94	YJU2 splicing factor	ENSMUSG00000003208
Ranbp2; A430087B05Rik	RAN binding protein 2	ENSMUSG00000003226
